Data from the Singer et al. paper on survey incentives
sid:  id for the survey
m:  mode (-.5 if telephone, .5 if face-to-face)
r:  response rate in the survey condition
t:  timing (0 if no incentive, -.5 if given after the survey, .5 if given before the survey)
f:  form (0 if no incentive, -.5 if gift, .5 if cash)
r.dif:  difference in response rate compared to lowest-value incentive condition in that survey
v:  value of incentive (in 1999 dollars)
v.dif:  differenece in incentive value compared to lowest-value incentive condition in that survey
b:  burden (-.5 if low-burden survey, .5 if high-burden survey)
 
   sid    m    r    t    f r.dif          v      v.dif    b 
 1  20 -0.5 0.75  0.0  0.0    NA   0.000000         NA -0.5
 2  20 -0.5 0.78  0.5 -0.5  0.03   1.241506   1.241506 -0.5
 3  20 -0.5 0.81  0.5  0.5  0.06   2.466235   2.466235 -0.5
 4  30 -0.5 0.63  0.0  0.0    NA   0.000000         NA  0.5
 5  30 -0.5 0.72 -0.5  5.0  0.09  14.713524  14.713524  0.5
 6  40  0.5 0.79  0.0  0.0    NA   0.000000         NA  0.5
 7  40  0.5 0.83 -0.5 -0.5  0.04  24.628795  24.628795  0.5
 8  40  0.5 0.84 -0.5 -0.5  0.06  43.117169  43.117169  0.5
 9  50  0.5 0.70  0.0  0.0    NA   0.000000         NA  0.5
10  50  0.5 0.83 -0.5 -0.5  0.13  17.313976  17.313976  0.5
11  50  0.5 0.80 -0.5 -0.5  0.10  21.625693  21.625693  0.5
12  50  0.5 0.85 -0.5 -0.5  0.15  43.234608  43.234608  0.5
13  60  0.5 0.58  0.0  0.0    NA   0.000000         NA  0.5
14  60  0.5 0.74 -0.5 -0.5  0.16  10.267590  10.267590  0.5
15  71 -0.5 0.35  0.0  0.0    NA   0.000000         NA  0.5
16  71 -0.5 0.34 -0.5 -0.5 -0.01   5.653886   5.653886  0.5
17  71 -0.5 0.42 -0.5 -0.5  0.07  11.324548  11.324548  0.5
18  71 -0.5 0.47 -0.5 -0.5  0.12  16.978434  16.978434  0.5
19  80  0.5 0.59  0.0  0.0    NA   0.000000         NA  0.5
20  80  0.5 0.67  8.0 -0.5  0.08  23.219518  23.219518  0.5
21  90 -0.5 0.60  0.0  0.0    NA   0.000000         NA  0.5
22  90 -0.5 0.75 -0.5 -0.5  0.15  15.938253  15.938253  0.5
23 100  0.5 0.30  0.0  0.0    NA   0.000000         NA  0.5
24 100  0.5 0.42  0.5 -0.5  0.12   1.476386   1.476386  0.5
25 100  0.5 0.36 -0.5 -0.5  0.06   1.476386   1.476386  0.5
26 100  0.5 0.36 -0.5 -0.5  0.07  14.763855  14.763855  0.5
27 110 -0.5 0.58  0.0  0.0    NA   0.000000         NA -0.5
28 110 -0.5 0.69 -0.5 -0.5  0.11  57.780361  57.780361 -0.5
29 110 -0.5 0.77 -0.5 -0.5  0.19 115.543946 115.543946 -0.5
30 121  0.5 0.70  0.0  0.0    NA   0.000000         NA -0.5
31 121  0.5 0.75 -0.5 -0.5  0.06  13.841114  13.841114 -0.5
32 122  0.5 0.86  0.0  0.0    NA   0.000000         NA -0.5
33 122  0.5 0.85 -0.5 -0.5  0.00  13.841114  13.841114 -0.5
34 123  0.5 0.80  0.0  0.0    NA   0.000000         NA -0.5
35 123  0.5 0.85 -0.5 -0.5  0.05  13.841114  13.841114 -0.5
36 130 -0.5 0.44  0.5 -0.5    NA   1.677711         NA  0.5
37 130 -0.5 0.50  0.5 -0.5  0.06   3.372199   1.694488  0.5
38 130 -0.5 0.57  0.5 -0.5  0.13   8.422108   6.744398  0.5
39 140  0.5 0.28 -0.5 -0.5    NA  59.793614         NA  0.5
40 140  0.5 0.28 -0.5 -0.5  0.00 119.587229  59.793614  0.5
41 150 -0.5 0.76  0.0  0.0    NA   0.000000         NA -0.5
42 150 -0.5 0.70 -0.5 -0.5 -0.06   1.358946   1.358946 -0.5
43 150 -0.5 0.75 -0.5  0.5 -0.01   4.060060   4.060060 -0.5
44 160  0.5 0.76  0.0  0.0    NA   0.000000         NA -0.5
45 160  0.5 0.81  0.5  0.5  0.05   4.932470   4.932470 -0.5
46 180  0.5 0.63  0.0  0.0    NA   0.000000         NA  0.5
47 180  0.5 0.67  0.5  0.5  0.04   4.529819   4.529819  0.5
48 190  0.5 0.63  0.0  0.0    NA  0.000000        NA   NA
49 190  0.5 0.54 -0.5 -0.5 -0.09 22.800090 22.800090   NA
50 200  0.5 0.73  0.0  0.0    NA  0.000000        NA  0.5
51 200  0.5 0.85  8.0 -0.5  0.12 20.065422 20.065422  0.5
52 210  0.5 0.16  0.0  0.0    NA  0.000000        NA  0.5
53 210  0.5 0.21 -0.5 -0.5  0.06  3.372199  3.372199  0.5
54 220  0.5 0.63  0.0  0.0    NA  0.000000        NA  0.5
55 220  0.5 0.73  0.5 -0.5  0.10  7.801355  7.801355  0.5
56 220  0.5 0.59 -0.5 -0.5 -0.04  7.801355  7.801355  0.5
57 230  0.5 0.86  0.0  0.0    NA  0.000000        NA  0.5
58 230  0.5 0.77  0.5  0.5 -0.09  4.529819  4.529819  0.5
59 230  0.5 0.90  0.5  0.5  0.05 22.800090 22.800090  0.5
60 230  0.5 0.79 -0.5  0.5 -0.07 22.800090 22.800090  0.5
61 241  0.5 0.72  0.0  0.0    NA  0.000000        NA  0.5
62 241  0.5 0.76 -0.5 -0.5  0.04 20.065422 20.065422  0.5
63 241  0.5 0.77 -0.5 -0.5  0.05 40.130843 40.130843  0.5
64 242  0.5 0.68  0.0  0.0    NA  0.000000        NA  0.5
65 242  0.5 0.73 -0.5 -0.5  0.05 20.065422 20.065422  0.5
66 242  0.5 0.74 -0.5 -0.5  0.05 40.130843 40.130843  0.5
67 250  0.5 0.74 -0.5 -0.5    NA 25.736084        NA  0.5
68 250  0.5 0.79 -0.5 -0.5  0.05 51.455392 25.736084  0.5
69 260  0.5 0.70  0.0  0.0    NA  0.000000        NA  0.5
70 260  0.5 0.82 -0.5 -0.5  0.12 40.130843 40.130843  0.5
71 270  0.5 0.54  0.0  0.0    NA  0.000000        NA  0.5
72 270  0.5 0.69 -0.5 -0.5  0.15 23.924157 23.924157  0.5
73 280  0.5 0.87  0.0  0.0    NA  0.000000        NA -0.5
74 280  0.5 0.87  0.5 -0.5  0.00  4.630482  4.630482 -0.5
75 300  0.5 0.79  0.0  0.0    NA  0.000000        NA  0.5
76 300  0.5 0.90 -0.5 -0.5  0.11 29.544488 29.544488  0.5
77 310  0.5 0.72  0.0  0.0    NA  0.000000        NA  0.5
78 310  0.5 0.75  0.5  0.5  0.03  2.466235  2.466235  0.5
79 310  0.5 0.71  0.5  0.5 -0.01  6.157199  6.157199  0.5
80 320  0.5 0.60  0.0  0.0    NA  0.000000        NA  0.5
81 320  0.5 0.75 -0.5  7.0  0.15 10.049488 10.049488  0.5
82 330  0.5 0.93  0.0  0.0    NA  0.000000        NA  0.5
83 330  0.5 0.94  0.5  0.5  0.01  7.381928  7.381928  0.5
84 340  0.5 0.63  0.0  0.0    NA  0.000000        NA -0.5
85 340  0.5 0.71  0.5 -0.5  0.08  5.335120  5.335120 -0.5
